device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,target
Microwave,102,very hot,2018-01-25,00:00:00,01:00:00,midnight,9,28,1749,0
Microwave,102,low cold,2018-01-25,01:00:00,02:00:00,midnight,7,46,1777,0
Microwave,102,very hot,2018-01-25,07:00:00,08:00:00,morning,15,35,1602,0
Microwave,102,very hot,2018-01-25,12:00:00,13:00:00,afternoon,9,10,1120,1
Microwave,102,cold,2018-01-25,13:00:00,14:00:00,afternoon,15,8,1413,0
Microwave,102,very cold,2018-01-25,19:00:00,20:00:00,night,13,18,1715,0
Microwave,102,very hot,2018-01-25,19:00:00,20:00:00,night,11,46,1934,0
Microwave,102,very cold,2018-01-25,20:00:00,21:00:00,night,13,16,1357,0
Microwave,102,low hot,2018-01-26,01:00:00,02:00:00,midnight,13,49,1609,0
Microwave,102,low hot,2018-01-26,03:00:00,04:00:00,midnight,2,22,1197,1
Microwave,102,cold,2018-01-26,03:00:00,04:00:00,midnight,0,0,1814,0
Microwave,102,low cold,2018-01-26,04:00:00,05:00:00,early morning,8,3,1540,1
Microwave,102,cold,2018-01-26,08:00:00,09:00:00,morning,4,3,1117,1
Microwave,102,hot,2018-01-26,08:00:00,09:00:00,morning,6,6,1469,1
Microwave,102,cold,2018-01-26,09:00:00,10:00:00,morning,11,5,1400,1
Microwave,102,very hot,2018-01-26,13:00:00,14:00:00,afternoon,0,0,1768,0
Microwave,102,cold,2018-01-27,07:00:00,08:00:00,morning,15,26,1479,1
Microwave,102,low hot,2018-01-27,14:00:00,15:00:00,afternoon,8,45,1299,1
Microwave,102,cold,2018-01-27,21:00:00,22:00:00,night,8,14,1956,0
Microwave,102,cold,2018-01-27,22:00:00,23:00:00,night,11,33,1261,1
Microwave,102,cold,2018-01-27,23:00:00,00:00:00,midnight,14,45,1029,1
Microwave,102,hot,2018-01-27,23:00:00,00:00:00,midnight,14,53,1962,0
Refridgerator,102,very hot,2018-01-14,05:00:00,06:00:00,early morning,5,57,182,1
Refridgerator,102,low cold,2018-01-14,15:00:00,16:00:00,afternoon,12,46,255,0
Refridgerator,102,hot,2018-01-14,22:00:00,23:00:00,night,12,32,240,0
Refridgerator,102,hot,2018-01-14,23:00:00,00:00:00,midnight,9,8,165,1
Refridgerator,102,cold,2018-01-15,01:00:00,02:00:00,midnight,5,17,219,0
Refridgerator,102,low cold,2018-01-15,02:00:00,03:00:00,midnight,1,24,192,1
Refridgerator,102,low cold,2018-01-15,06:00:00,07:00:00,early morning,0,0,216,0
Refridgerator,102,very hot,2018-01-15,08:00:00,09:00:00,morning,12,46,267,0
Refridgerator,102,low hot,2018-01-15,09:00:00,10:00:00,morning,12,14,206,1
Refridgerator,102,hot,2018-01-15,12:00:00,13:00:00,afternoon,10,18,239,0
Refridgerator,102,low cold,2018-01-15,14:00:00,15:00:00,afternoon,2,32,280,0
Refridgerator,102,very hot,2018-01-15,15:00:00,16:00:00,afternoon,6,10,273,0
Refridgerator,102,cold,2018-01-15,19:00:00,20:00:00,night,14,1,128,1
Refridgerator,102,very cold,2018-01-16,00:00:00,01:00:00,midnight,12,16,296,0
Refridgerator,102,very cold,2018-01-16,01:00:00,02:00:00,midnight,2,43,222,1
Refridgerator,102,hot,2018-01-16,04:00:00,05:00:00,early morning,10,53,169,1
Refridgerator,102,hot,2018-01-16,10:00:00,11:00:00,morning,2,33,199,1
Refridgerator,102,hot,2018-01-16,14:00:00,15:00:00,afternoon,3,5,209,0
Refridgerator,102,low cold,2018-01-16,18:00:00,19:00:00,evening,2,47,283,0
Refridgerator,102,cold,2018-01-16,22:00:00,23:00:00,night,15,7,137,1
Refridgerator,102,hot,2018-01-17,02:00:00,03:00:00,midnight,14,7,135,1
Refridgerator,102,low hot,2018-01-17,04:00:00,05:00:00,early morning,4,36,131,1
Refridgerator,102,low cold,2018-01-18,09:00:00,10:00:00,morning,5,25,284,0
Refridgerator,102,cold,2018-01-18,12:00:00,13:00:00,afternoon,9,2,186,1
Refridgerator,102,low hot,2018-01-18,13:00:00,14:00:00,afternoon,5,56,182,1
Refridgerator,102,low hot,2018-01-18,17:00:00,18:00:00,evening,5,13,287,0
Refridgerator,102,very hot,2018-01-18,22:00:00,23:00:00,night,15,47,151,1
Television,102,low cold,2018-01-09,07:00:00,08:00:00,morning,2,4,241,1
Television,102,very cold,2018-01-09,10:00:00,11:00:00,morning,4,29,248,0
Television,102,low hot,2018-01-10,02:00:00,03:00:00,midnight,14,33,228,1
Television,102,low hot,2018-01-10,05:00:00,06:00:00,early morning,1,3,220,0
Television,102,very hot,2018-01-10,07:00:00,08:00:00,morning,14,19,208,1
Television,102,low hot,2018-01-10,08:00:00,09:00:00,morning,9,46,278,0
Television,102,low hot,2018-01-10,10:00:00,11:00:00,morning,0,0,237,1
Television,102,very cold,2018-01-10,11:00:00,12:00:00,morning,4,2,240,1
Television,102,low cold,2018-01-10,11:00:00,12:00:00,morning,5,44,210,1
Television,102,low hot,2018-01-10,20:00:00,21:00:00,night,10,23,234,0
Television,102,low hot,2018-01-10,20:00:00,21:00:00,night,0,0,209,1
Television,102,very cold,2018-01-11,05:00:00,06:00:00,early morning,13,30,229,1
Television,102,hot,2018-01-11,06:00:00,07:00:00,early morning,15,2,258,1
Television,102,low cold,2018-01-11,07:00:00,08:00:00,morning,9,12,222,1
Television,102,cold,2018-01-11,10:00:00,11:00:00,morning,10,39,208,1
Television,102,low cold,2018-01-11,14:00:00,15:00:00,afternoon,8,46,253,1
Television,102,very cold,2018-01-11,15:00:00,16:00:00,afternoon,4,41,220,1
Television,102,very hot,2018-01-11,17:00:00,18:00:00,evening,7,35,284,0
Television,102,hot,2018-01-11,17:00:00,18:00:00,evening,3,26,253,0
Television,102,cold,2018-01-11,18:00:00,19:00:00,evening,13,31,289,0
Television,102,very hot,2018-01-11,18:00:00,19:00:00,evening,1,4,294,0
Television,102,very cold,2018-01-11,21:00:00,22:00:00,night,0,0,216,1
Television,102,low hot,2018-01-11,21:00:00,22:00:00,night,15,6,207,1
Television,102,low cold,2018-01-11,21:00:00,22:00:00,night,6,24,249,1
Television,102,cold,2018-01-12,04:00:00,05:00:00,early morning,14,34,276,0
Television,102,low hot,2018-01-12,10:00:00,11:00:00,morning,7,30,209,1
Television,102,very cold,2018-01-12,10:00:00,11:00:00,morning,11,19,279,0
Television,102,low hot,2018-01-12,11:00:00,12:00:00,morning,9,48,265,1
Television,102,cold,2018-01-12,11:00:00,12:00:00,morning,9,18,215,1
Television,102,very hot,2018-01-12,15:00:00,16:00:00,afternoon,12,49,231,1
Television,102,cold,2018-01-12,22:00:00,23:00:00,night,13,37,266,0
Television,102,very hot,2018-01-12,23:00:00,00:00:00,midnight,1,27,296,0
Television,102,low cold,2018-01-13,00:00:00,01:00:00,midnight,8,45,205,1
Television,102,cold,2018-01-13,01:00:00,02:00:00,midnight,6,44,215,1
Television,102,very cold,2018-01-13,01:00:00,02:00:00,midnight,10,57,207,1
Television,102,cold,2018-01-13,11:00:00,12:00:00,morning,15,14,279,0
Television,102,very hot,2018-01-13,12:00:00,13:00:00,afternoon,2,14,207,1
Television,102,low hot,2018-01-13,19:00:00,20:00:00,night,14,29,285,0
Television,102,low hot,2018-01-13,22:00:00,23:00:00,night,6,5,224,1
Television,102,low hot,2018-01-14,05:00:00,06:00:00,early morning,4,34,210,1
Television,102,very hot,2018-01-14,07:00:00,08:00:00,morning,15,40,280,0
Television,102,low cold,2018-01-14,07:00:00,08:00:00,morning,3,8,205,1
Television,102,very cold,2018-01-14,14:00:00,15:00:00,afternoon,5,46,217,1
Television,102,hot,2018-01-14,15:00:00,16:00:00,afternoon,0,0,296,0
Television,102,very hot,2018-01-14,21:00:00,22:00:00,night,10,7,289,0
AC,103,hot,2018-01-01,00:00:00,01:00:00,midnight,4,54,1365,0
AC,103,very cold,2018-01-01,08:00:00,09:00:00,morning,12,48,1443,1
AC,103,cold,2018-01-01,08:00:00,09:00:00,morning,8,25,1097,1
AC,103,very hot,2018-01-01,13:00:00,14:00:00,afternoon,0,0,1960,0
AC,103,cold,2018-01-01,16:00:00,17:00:00,evening,5,47,1205,1
AC,103,low hot,2018-01-01,16:00:00,17:00:00,evening,10,47,1821,0
AC,103,very cold,2018-01-01,18:00:00,19:00:00,evening,11,32,1059,1
AC,103,hot,2018-01-01,19:00:00,20:00:00,night,12,52,1734,0
AC,103,cold,2018-01-02,02:00:00,03:00:00,midnight,13,19,1419,1
AC,103,cold,2018-01-02,03:00:00,04:00:00,midnight,4,37,1396,0
AC,103,very cold,2018-01-02,07:00:00,08:00:00,morning,15,48,1461,1
AC,103,very hot,2018-01-02,09:00:00,10:00:00,morning,7,14,1502,0
AC,103,very cold,2018-01-02,10:00:00,11:00:00,morning,1,50,1974,0
AC,103,low hot,2018-01-02,12:00:00,13:00:00,afternoon,3,43,1662,0
AC,103,cold,2018-01-02,18:00:00,19:00:00,evening,1,34,1854,0
AC,103,cold,2018-01-02,21:00:00,22:00:00,night,10,47,1929,0
AC,103,very hot,2018-01-02,22:00:00,23:00:00,night,5,22,1362,1
AC,103,cold,2018-01-03,10:00:00,11:00:00,morning,5,44,1554,0
AC,103,very hot,2018-01-03,12:00:00,13:00:00,afternoon,9,48,1482,1
AC,103,low cold,2018-01-03,15:00:00,16:00:00,afternoon,1,57,1278,1
AC,103,very cold,2018-01-03,16:00:00,17:00:00,evening,1,36,1103,1
AC,103,very cold,2018-01-03,18:00:00,19:00:00,evening,7,36,1559,0
AC,103,low cold,2018-01-04,00:00:00,01:00:00,midnight,10,54,1166,1
AC,103,very cold,2018-01-04,08:00:00,09:00:00,morning,11,2,1021,1
AC,103,low cold,2018-01-04,09:00:00,10:00:00,morning,14,29,1640,0
AC,103,very hot,2018-01-04,13:00:00,14:00:00,afternoon,5,21,1046,1
AC,103,very cold,2018-01-04,23:00:00,00:00:00,midnight,11,32,1511,1
AC,103,hot,2018-01-05,21:00:00,22:00:00,night,15,18,1189,1
Computer,103,low hot,2018-01-27,04:00:00,05:00:00,early morning,4,53,362,1
Computer,103,low hot,2018-01-27,16:00:00,17:00:00,evening,11,51,366,0
Computer,103,very cold,2018-01-27,20:00:00,21:00:00,night,10,10,496,0
Computer,103,hot,2018-01-27,22:00:00,23:00:00,night,13,20,459,0
Computer,103,low hot,2018-01-28,03:00:00,04:00:00,midnight,3,25,322,1
Computer,103,cold,2018-01-28,04:00:00,05:00:00,early morning,4,15,422,0
Computer,103,hot,2018-01-28,06:00:00,07:00:00,early morning,0,0,420,0
Computer,103,low hot,2018-01-28,07:00:00,08:00:00,morning,4,29,434,0
Computer,103,low cold,2018-01-28,10:00:00,11:00:00,morning,6,55,381,0
Computer,103,very hot,2018-01-28,14:00:00,15:00:00,afternoon,9,56,306,1
Computer,103,cold,2018-01-28,18:00:00,19:00:00,evening,1,16,329,1
Computer,103,very cold,2018-01-28,19:00:00,20:00:00,night,0,0,441,0
Computer,103,very hot,2018-01-28,21:00:00,22:00:00,night,10,4,308,1
Computer,103,very hot,2018-01-29,01:00:00,02:00:00,midnight,4,48,413,0
Computer,103,hot,2018-01-29,08:00:00,09:00:00,morning,13,36,345,1
Computer,103,low cold,2018-01-29,10:00:00,11:00:00,morning,1,56,329,1
Computer,103,very hot,2018-01-29,10:00:00,11:00:00,morning,1,20,320,1
Computer,103,cold,2018-01-29,10:00:00,11:00:00,morning,14,12,314,1
Computer,103,very cold,2018-01-29,13:00:00,14:00:00,afternoon,3,7,300,1
Computer,103,low hot,2018-01-29,19:00:00,20:00:00,night,13,18,496,0
Computer,103,hot,2018-01-29,19:00:00,20:00:00,night,11,12,496,0
Computer,103,hot,2018-01-29,22:00:00,23:00:00,night,1,26,340,1
Computer,103,cold,2018-01-29,23:00:00,00:00:00,midnight,6,5,461,0
Computer,103,very hot,2018-01-30,02:00:00,03:00:00,midnight,0,0,380,1
Computer,103,very cold,2018-01-30,04:00:00,05:00:00,early morning,15,2,340,1
Computer,103,cold,2018-01-30,04:00:00,05:00:00,early morning,9,37,403,0
Computer,103,very cold,2018-01-30,06:00:00,07:00:00,early morning,15,41,388,1
Computer,103,cold,2018-01-30,06:00:00,07:00:00,early morning,15,57,464,0
Computer,103,very hot,2018-01-30,09:00:00,10:00:00,morning,14,38,347,1
Computer,103,very cold,2018-01-30,09:00:00,10:00:00,morning,4,35,311,1
Computer,103,low hot,2018-01-30,15:00:00,16:00:00,afternoon,2,18,422,0
Computer,103,very hot,2018-01-30,21:00:00,22:00:00,night,1,37,377,0
Computer,103,very hot,2018-01-30,21:00:00,22:00:00,night,14,4,452,0
Computer,103,very hot,2018-01-31,02:00:00,03:00:00,midnight,2,32,467,0
Computer,103,hot,2018-01-31,06:00:00,07:00:00,early morning,6,34,327,1
Computer,103,low cold,2018-01-31,15:00:00,16:00:00,afternoon,11,55,410,1
Computer,103,low hot,2018-01-31,15:00:00,16:00:00,afternoon,5,6,313,1
Computer,103,cold,2018-01-31,21:00:00,22:00:00,night,2,41,317,1
Computer,103,low hot,2018-01-31,21:00:00,22:00:00,night,13,33,467,0
Computer,103,cold,2018-01-31,23:00:00,00:00:00,midnight,9,32,315,1
Heater,103,cold,2018-01-18,14:00:00,15:00:00,afternoon,1,26,2933,0
Heater,103,very cold,2018-01-18,20:00:00,21:00:00,night,14,27,1991,0
Heater,103,low cold,2018-01-19,00:00:00,01:00:00,midnight,0,0,2970,0
Heater,103,very hot,2018-01-19,04:00:00,05:00:00,early morning,2,40,2154,1
Heater,103,very cold,2018-01-19,05:00:00,06:00:00,early morning,1,23,2912,0
Heater,103,hot,2018-01-19,07:00:00,08:00:00,morning,10,6,2248,1
Heater,103,very cold,2018-01-19,15:00:00,16:00:00,afternoon,6,8,1631,1
Heater,103,cold,2018-01-19,16:00:00,17:00:00,evening,2,38,2556,0
Heater,103,cold,2018-01-19,19:00:00,20:00:00,night,15,43,2460,1
Heater,103,cold,2018-01-19,20:00:00,21:00:00,night,10,7,2507,0
Heater,103,very cold,2018-01-19,22:00:00,23:00:00,night,0,0,1984,1
Heater,103,low cold,2018-01-19,22:00:00,23:00:00,night,11,23,1746,1
Heater,103,very hot,2018-01-20,08:00:00,09:00:00,morning,13,6,2961,0
Heater,103,low hot,2018-01-20,10:00:00,11:00:00,morning,5,10,1683,1
Heater,103,low cold,2018-01-20,19:00:00,20:00:00,night,13,59,2290,0
Heater,103,cold,2018-01-20,21:00:00,22:00:00,night,4,11,2591,0
Heater,103,cold,2018-01-20,22:00:00,23:00:00,night,1,54,2871,0
Heater,103,cold,2018-01-20,23:00:00,00:00:00,midnight,13,36,2164,1
Heater,103,hot,2018-01-21,05:00:00,06:00:00,early morning,8,19,2126,1
Heater,103,cold,2018-01-21,06:00:00,07:00:00,early morning,6,6,2768,0
Heater,103,hot,2018-01-21,06:00:00,07:00:00,early morning,1,4,2856,0
Heater,103,low hot,2018-01-21,08:00:00,09:00:00,morning,14,56,2913,0
Heater,103,cold,2018-01-21,09:00:00,10:00:00,morning,4,11,2966,0
Heater,103,hot,2018-01-21,11:00:00,12:00:00,morning,15,6,2192,1
Heater,103,very hot,2018-01-21,15:00:00,16:00:00,afternoon,12,22,2106,1
Heater,103,hot,2018-01-21,19:00:00,20:00:00,night,1,25,2045,1
Heater,103,very hot,2018-01-22,00:00:00,01:00:00,midnight,7,56,1562,1
Heater,103,low hot,2018-01-22,02:00:00,03:00:00,midnight,13,39,2254,0
Heater,103,low cold,2018-01-22,03:00:00,04:00:00,midnight,6,37,2502,0
Heater,103,very cold,2018-01-22,09:00:00,10:00:00,morning,11,12,2019,1
Heater,103,very cold,2018-01-22,11:00:00,12:00:00,morning,0,0,2443,0
Heater,103,very hot,2018-01-22,21:00:00,22:00:00,night,4,34,2092,0
Heater,103,cold,2018-01-23,04:00:00,05:00:00,early morning,7,39,1561,1
Heater,103,cold,2018-01-23,23:00:00,00:00:00,midnight,2,4,1929,1
Lights,103,low hot,2018-01-05,03:00:00,04:00:00,midnight,12,45,1740,0
Lights,103,low hot,2018-01-05,06:00:00,07:00:00,early morning,3,24,1314,1
Lights,103,cold,2018-01-05,12:00:00,13:00:00,afternoon,0,0,1547,1
Lights,103,low cold,2018-01-05,15:00:00,16:00:00,afternoon,3,25,1022,1
Lights,103,hot,2018-01-05,17:00:00,18:00:00,evening,5,3,1919,0
Lights,103,very cold,2018-01-05,20:00:00,21:00:00,night,2,47,1390,1
Lights,103,low hot,2018-01-05,23:00:00,00:00:00,midnight,12,32,1679,0
Lights,103,very cold,2018-01-06,07:00:00,08:00:00,morning,4,15,1354,1
Lights,103,low cold,2018-01-06,08:00:00,09:00:00,morning,15,51,1563,0
Lights,103,low hot,2018-01-06,12:00:00,13:00:00,afternoon,4,4,1458,1
Lights,103,low hot,2018-01-06,16:00:00,17:00:00,evening,5,49,1595,0
Lights,103,very hot,2018-01-06,19:00:00,20:00:00,night,2,54,1885,0
Lights,103,very cold,2018-01-07,01:00:00,02:00:00,midnight,6,16,1263,1
Lights,103,hot,2018-01-07,04:00:00,05:00:00,early morning,0,0,1648,0
Lights,103,hot,2018-01-07,12:00:00,13:00:00,afternoon,0,0,1754,0
Lights,103,low cold,2018-01-08,03:00:00,04:00:00,midnight,14,8,1497,1
Lights,103,very hot,2018-01-08,09:00:00,10:00:00,morning,4,2,1116,0
Lights,103,very cold,2018-01-08,13:00:00,14:00:00,afternoon,10,8,1514,1
Lights,103,low hot,2018-01-08,18:00:00,19:00:00,evening,11,18,1077,1
Lights,103,low hot,2018-01-08,21:00:00,22:00:00,night,8,47,1929,0
Lights,103,very cold,2018-01-08,22:00:00,23:00:00,night,5,34,1083,1
Lights,103,low hot,2018-01-08,23:00:00,00:00:00,midnight,9,35,1454,1
Lights,103,very cold,2018-01-09,00:00:00,01:00:00,midnight,9,29,1240,1
Lights,103,low cold,2018-01-09,02:00:00,03:00:00,midnight,9,37,1551,0
Lights,103,very hot,2018-01-09,07:00:00,08:00:00,morning,4,7,1440,1
Lights,103,cold,2018-01-09,07:00:00,08:00:00,morning,14,1,1172,1
Lights,103,very cold,2018-01-09,09:00:00,10:00:00,morning,13,39,1136,1
Lights,103,cold,2018-01-09,10:00:00,11:00:00,morning,11,22,1578,0
Lights,103,very cold,2018-01-09,11:00:00,12:00:00,morning,13,6,1292,1
Lights,103,low cold,2018-01-09,15:00:00,16:00:00,afternoon,15,4,1374,1
Lights,103,very cold,2018-01-09,17:00:00,18:00:00,evening,8,8,1660,0
Lights,103,hot,2018-01-09,21:00:00,22:00:00,night,10,13,1770,0
Microwave,103,low cold,2018-01-23,03:00:00,04:00:00,midnight,12,31,1846,0
Microwave,103,low cold,2018-01-23,08:00:00,09:00:00,morning,13,42,1192,1
Microwave,103,low cold,2018-01-23,14:00:00,15:00:00,afternoon,1,26,1201,1
Microwave,103,very cold,2018-01-23,16:00:00,17:00:00,evening,7,21,1204,1
Microwave,103,low hot,2018-01-23,21:00:00,22:00:00,night,15,23,1892,0
Microwave,103,very hot,2018-01-24,02:00:00,03:00:00,midnight,3,45,1048,1
Microwave,103,hot,2018-01-24,04:00:00,05:00:00,early morning,4,44,1934,0
Microwave,103,very cold,2018-01-24,06:00:00,07:00:00,early morning,14,15,1387,0
Microwave,103,very hot,2018-01-24,10:00:00,11:00:00,morning,15,36,1304,1
Microwave,103,cold,2018-01-24,14:00:00,15:00:00,afternoon,9,6,1264,0
Microwave,103,very hot,2018-01-24,17:00:00,18:00:00,evening,5,17,1520,0
Microwave,103,hot,2018-01-24,17:00:00,18:00:00,evening,0,0,1025,1
Microwave,103,very hot,2018-01-24,19:00:00,20:00:00,night,3,58,1488,1
Microwave,103,very hot,2018-01-24,20:00:00,21:00:00,night,7,33,1948,0
Microwave,103,hot,2018-01-25,02:00:00,03:00:00,midnight,5,3,1608,0
Microwave,103,very cold,2018-01-25,03:00:00,04:00:00,midnight,2,29,1651,0
Microwave,103,cold,2018-01-25,11:00:00,12:00:00,morning,11,43,1029,1
Microwave,103,very hot,2018-01-25,17:00:00,18:00:00,evening,0,0,1920,0
Microwave,103,cold,2018-01-25,17:00:00,18:00:00,evening,6,14,1598,1
Microwave,103,hot,2018-01-26,00:00:00,01:00:00,midnight,7,55,1050,1
Microwave,103,very cold,2018-01-26,06:00:00,07:00:00,early morning,12,30,1591,0
Microwave,103,very hot,2018-01-26,09:00:00,10:00:00,morning,7,12,1121,1
Microwave,103,low cold,2018-01-26,12:00:00,13:00:00,afternoon,11,55,1843,0
Microwave,103,cold,2018-01-27,01:00:00,02:00:00,midnight,14,55,1243,1
Microwave,103,low hot,2018-01-27,01:00:00,02:00:00,midnight,9,22,1849,0
Microwave,103,cold,2018-01-27,03:00:00,04:00:00,midnight,4,12,1123,1
Microwave,103,very cold,2018-01-27,10:00:00,11:00:00,morning,9,33,1721,0
Microwave,103,hot,2018-01-27,14:00:00,15:00:00,afternoon,2,47,1434,1
Microwave,103,very hot,2018-01-27,16:00:00,17:00:00,evening,14,11,1263,1
Microwave,103,hot,2018-01-27,17:00:00,18:00:00,evening,11,53,1814,0
Refridgerator,103,hot,2018-01-14,03:00:00,04:00:00,midnight,9,46,153,1
Refridgerator,103,hot,2018-01-14,04:00:00,05:00:00,early morning,4,53,105,1
Refridgerator,103,hot,2018-01-14,07:00:00,08:00:00,morning,5,2,120,1
Refridgerator,103,very cold,2018-01-14,14:00:00,15:00:00,afternoon,4,48,164,0
Refridgerator,103,low cold,2018-01-14,18:00:00,19:00:00,evening,0,0,234,0
Refridgerator,103,low hot,2018-01-14,20:00:00,21:00:00,night,0,0,175,0
Refridgerator,103,hot,2018-01-15,02:00:00,03:00:00,midnight,14,4,269,0
Refridgerator,103,low hot,2018-01-15,03:00:00,04:00:00,midnight,5,20,284,0
Refridgerator,103,hot,2018-01-15,03:00:00,04:00:00,midnight,6,48,276,0
Refridgerator,103,hot,2018-01-15,05:00:00,06:00:00,early morning,4,16,172,1
Refridgerator,103,low hot,2018-01-15,06:00:00,07:00:00,early morning,5,10,140,1
Refridgerator,103,very cold,2018-01-15,08:00:00,09:00:00,morning,12,7,203,0
Refridgerator,103,low cold,2018-01-15,08:00:00,09:00:00,morning,15,9,232,0
Refridgerator,103,very cold,2018-01-15,18:00:00,19:00:00,evening,10,47,149,1
Refridgerator,103,very hot,2018-01-15,20:00:00,21:00:00,night,3,11,182,0
Refridgerator,103,very cold,2018-01-15,23:00:00,00:00:00,midnight,2,59,139,1
Refridgerator,103,low cold,2018-01-16,03:00:00,04:00:00,midnight,4,50,104,1
Refridgerator,103,hot,2018-01-16,05:00:00,06:00:00,early morning,14,58,195,0
Refridgerator,103,cold,2018-01-16,08:00:00,09:00:00,morning,7,58,284,0
Refridgerator,103,very hot,2018-01-16,09:00:00,10:00:00,morning,0,0,178,0
Refridgerator,103,very hot,2018-01-16,13:00:00,14:00:00,afternoon,5,37,281,0
Refridgerator,103,hot,2018-01-16,13:00:00,14:00:00,afternoon,3,14,153,1
Refridgerator,103,hot,2018-01-16,15:00:00,16:00:00,afternoon,0,0,297,0
Refridgerator,103,very cold,2018-01-16,18:00:00,19:00:00,evening,13,30,203,0
Refridgerator,103,low cold,2018-01-16,18:00:00,19:00:00,evening,6,6,161,1
Refridgerator,103,very cold,2018-01-16,20:00:00,21:00:00,night,12,33,224,0
Refridgerator,103,cold,2018-01-17,01:00:00,02:00:00,midnight,9,31,243,0
Refridgerator,103,low hot,2018-01-17,02:00:00,03:00:00,midnight,11,54,189,1
Refridgerator,103,hot,2018-01-17,11:00:00,12:00:00,morning,10,47,251,0
Refridgerator,103,cold,2018-01-17,16:00:00,17:00:00,evening,1,19,145,1
Refridgerator,103,hot,2018-01-17,19:00:00,20:00:00,night,0,0,147,1
Refridgerator,103,hot,2018-01-18,03:00:00,04:00:00,midnight,5,57,128,1
Refridgerator,103,low cold,2018-01-18,06:00:00,07:00:00,early morning,9,43,107,1
Refridgerator,103,very hot,2018-01-18,11:00:00,12:00:00,morning,0,0,250,0
Refridgerator,103,cold,2018-01-18,18:00:00,19:00:00,evening,15,50,272,0
Refridgerator,103,very cold,2018-01-18,21:00:00,22:00:00,night,10,21,293,0
Refridgerator,103,low cold,2018-01-18,21:00:00,22:00:00,night,15,53,186,0
Television,103,very cold,2018-01-09,09:00:00,10:00:00,morning,7,34,217,1
Television,103,low hot,2018-01-10,02:00:00,03:00:00,midnight,14,12,271,0
Television,103,hot,2018-01-10,05:00:00,06:00:00,early morning,12,17,286,0
Television,103,hot,2018-01-10,06:00:00,07:00:00,early morning,4,46,281,0
Television,103,very cold,2018-01-10,09:00:00,10:00:00,morning,4,50,251,0
Television,103,low cold,2018-01-10,12:00:00,13:00:00,afternoon,14,19,248,1
Television,103,cold,2018-01-10,18:00:00,19:00:00,evening,6,30,285,0
Television,103,low hot,2018-01-10,22:00:00,23:00:00,night,13,11,233,0
Television,103,very cold,2018-01-11,00:00:00,01:00:00,midnight,11,40,217,1
Television,103,very cold,2018-01-11,01:00:00,02:00:00,midnight,7,21,291,0
Television,103,low cold,2018-01-11,03:00:00,04:00:00,midnight,4,29,266,0
Television,103,cold,2018-01-11,04:00:00,05:00:00,early morning,5,50,202,1
Television,103,hot,2018-01-11,04:00:00,05:00:00,early morning,11,49,259,0
Television,103,hot,2018-01-11,09:00:00,10:00:00,morning,7,54,212,1
Television,103,cold,2018-01-11,14:00:00,15:00:00,afternoon,9,21,213,1
Television,103,cold,2018-01-11,16:00:00,17:00:00,evening,10,30,228,1
Television,103,very cold,2018-01-11,19:00:00,20:00:00,night,10,38,296,0
Television,103,very hot,2018-01-11,22:00:00,23:00:00,night,11,32,210,1
Television,103,low hot,2018-01-12,03:00:00,04:00:00,midnight,9,14,216,1
Television,103,very cold,2018-01-12,04:00:00,05:00:00,early morning,0,0,217,1
Television,103,very cold,2018-01-12,07:00:00,08:00:00,morning,7,43,231,1
Television,103,very cold,2018-01-12,09:00:00,10:00:00,morning,0,0,260,0
Television,103,hot,2018-01-12,13:00:00,14:00:00,afternoon,13,20,299,0
Television,103,low hot,2018-01-12,15:00:00,16:00:00,afternoon,2,47,218,1
Television,103,hot,2018-01-12,17:00:00,18:00:00,evening,14,52,269,0
Television,103,low cold,2018-01-13,04:00:00,05:00:00,early morning,1,57,227,1
Television,103,hot,2018-01-13,11:00:00,12:00:00,morning,13,21,203,1
Television,103,very cold,2018-01-13,16:00:00,17:00:00,evening,14,31,280,0
Television,103,very hot,2018-01-13,18:00:00,19:00:00,evening,8,12,270,0
Television,103,hot,2018-01-13,19:00:00,20:00:00,night,8,51,271,0
Television,103,very hot,2018-01-13,19:00:00,20:00:00,night,7,29,253,1
Television,103,cold,2018-01-13,21:00:00,22:00:00,night,10,50,299,0
Television,103,hot,2018-01-13,23:00:00,00:00:00,midnight,12,21,226,1
Television,103,low cold,2018-01-14,17:00:00,18:00:00,evening,0,0,201,1
AC,104,very cold,2018-01-01,01:00:00,02:00:00,midnight,2,21,1625,0
AC,104,low cold,2018-01-01,01:00:00,02:00:00,midnight,2,48,1031,1
AC,104,low cold,2018-01-01,01:00:00,02:00:00,midnight,13,11,1159,1
AC,104,very cold,2018-01-01,02:00:00,03:00:00,midnight,4,19,1947,0
AC,104,hot,2018-01-01,17:00:00,18:00:00,evening,1,57,1098,1
AC,104,low hot,2018-01-01,17:00:00,18:00:00,evening,15,21,1257,1
AC,104,low cold,2018-01-01,21:00:00,22:00:00,night,3,21,1527,1
AC,104,low hot,2018-01-01,21:00:00,22:00:00,night,12,33,1872,0
AC,104,cold,2018-01-01,21:00:00,22:00:00,night,13,4,1540,1
AC,104,hot,2018-01-02,00:00:00,01:00:00,midnight,12,19,1117,1
AC,104,low hot,2018-01-02,04:00:00,05:00:00,early morning,12,53,1935,0
AC,104,low cold,2018-01-02,04:00:00,05:00:00,early morning,10,54,1390,0
