device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins
Television,2,6,,outdoor,220,2018-01-15,04:00:00,05:00:00,9,4
Lights,2,9,905.0,indoor,1402,2018-01-15,05:00:00,06:00:00,4,30
AC,2,5,,outdoor,2327,2018-01-15,06:00:00,07:00:00,7,6
Television,3,4,,outdoor,222,2018-01-15,07:00:00,08:00:00,3,1
Computer,3,1,103.0,indoor,453,2018-01-15,08:00:00,09:00:00,8,9
Refridgerator,1,4,,outdoor,251,2018-01-15,09:00:00,10:00:00,9,20
Refridgerator,1,1,,outdoor,214,2018-01-15,10:00:00,11:00:00,7,16
Heater,3,1,102.0,indoor,2556,2018-01-15,11:00:00,12:00:00,0,1
Refridgerator,1,4,402.0,indoor,297,2018-01-15,12:00:00,13:00:00,5,23
Lights,1,4,,outdoor,4344,2018-01-15,13:00:00,14:00:00,7,18
Heater,3,4,,outdoor,2873,2018-01-15,14:00:00,15:00:00,3,15
Microwave,1,4,407.0,indoor,1640,2018-01-15,15:00:00,16:00:00,1,26
Television,2,5,,outdoor,260,2018-01-15,16:00:00,17:00:00,6,27
Television,3,4,403.0,indoor,202,2018-01-15,17:00:00,18:00:00,9,1
Heater,3,3,,outdoor,2792,2018-01-15,18:00:00,19:00:00,3,16
AC,3,4,401.0,indoor,1244,2018-01-15,19:00:00,20:00:00,4,17
Lights,1,6,,outdoor,4030,2018-01-15,20:00:00,21:00:00,10,30
Microwave,1,10,1003.0,indoor,1891,2018-01-15,21:00:00,22:00:00,6,30
Computer,3,10,,outdoor,346,2018-01-15,22:00:00,23:00:00,5,1
Lights,2,10,1004.0,indoor,1426,2018-01-15,23:00:00,00:00:00,3,21
Computer,1,6,605.0,indoor,306,2018-01-16,00:00:00,01:00:00,3,5
Heater,2,5,507.0,indoor,1981,2018-01-16,01:00:00,02:00:00,10,26
Heater,2,1,,outdoor,2638,2018-01-16,02:00:00,03:00:00,9,19
Computer,1,1,,outdoor,468,2018-01-16,03:00:00,04:00:00,0,0
AC,2,3,301.0,indoor,1705,2018-01-16,04:00:00,05:00:00,8,15
Refridgerator,3,1,104.0,indoor,297,2018-01-16,05:00:00,06:00:00,10,29
Microwave,3,4,,outdoor,1995,2018-01-16,06:00:00,07:00:00,8,6
AC,3,1,,outdoor,4904,2018-01-16,07:00:00,08:00:00,3,24
Computer,1,10,,outdoor,410,2018-01-16,08:00:00,09:00:00,7,5
Computer,2,6,604.0,indoor,493,2018-01-16,09:00:00,10:00:00,7,18
Refridgerator,1,6,602.0,indoor,138,2018-01-16,10:00:00,11:00:00,6,27
Lights,3,3,307.0,indoor,1857,2018-01-16,11:00:00,12:00:00,5,27
Heater,3,1,,outdoor,2987,2018-01-16,12:00:00,13:00:00,2,6
Heater,3,5,,outdoor,1823,2018-01-16,13:00:00,14:00:00,10,16
Lights,2,2,,outdoor,4545,2018-01-16,14:00:00,15:00:00,8,27
Computer,2,2,207.0,indoor,394,2018-01-16,15:00:00,16:00:00,7,30
Computer,2,7,,outdoor,310,2018-01-16,16:00:00,17:00:00,7,17
Refridgerator,2,4,404.0,indoor,158,2018-01-16,17:00:00,18:00:00,5,21
Heater,2,4,405.0,indoor,2514,2018-01-16,18:00:00,19:00:00,1,18
Computer,1,9,903.0,indoor,369,2018-01-16,19:00:00,20:00:00,10,8
Refridgerator,1,9,905.0,indoor,240,2018-01-16,20:00:00,21:00:00,3,17
Computer,3,4,,outdoor,379,2018-01-16,21:00:00,22:00:00,0,15
Television,2,9,,outdoor,220,2018-01-16,22:00:00,23:00:00,9,25
Refridgerator,2,8,,outdoor,130,2018-01-16,23:00:00,00:00:00,4,14
Heater,1,6,601.0,indoor,1501,2018-01-17,00:00:00,01:00:00,9,30
Computer,2,10,1001.0,indoor,474,2018-01-17,01:00:00,02:00:00,1,17
Computer,1,7,,outdoor,393,2018-01-17,02:00:00,03:00:00,4,29
Television,3,8,,outdoor,242,2018-01-17,03:00:00,04:00:00,7,21
Television,3,8,804.0,indoor,299,2018-01-17,04:00:00,05:00:00,0,10
Lights,2,6,,outdoor,2097,2018-01-17,05:00:00,06:00:00,3,29
Lights,3,6,606.0,indoor,1570,2018-01-17,06:00:00,07:00:00,7,24
AC,3,9,906.0,indoor,1831,2018-01-17,07:00:00,08:00:00,2,22
Microwave,1,9,,outdoor,1642,2018-01-17,08:00:00,09:00:00,1,11
Heater,3,9,906.0,indoor,2564,2018-01-17,09:00:00,10:00:00,6,11
Lights,3,5,504.0,indoor,1791,2018-01-17,10:00:00,11:00:00,9,6
Television,3,10,1004.0,indoor,269,2018-01-17,11:00:00,12:00:00,8,5
Heater,1,5,501.0,indoor,2700,2018-01-17,12:00:00,13:00:00,5,18
Lights,1,1,107.0,indoor,1481,2018-01-17,13:00:00,14:00:00,2,14
AC,2,6,,outdoor,2138,2018-01-17,14:00:00,15:00:00,6,26
Television,1,7,703.0,indoor,293,2018-01-17,15:00:00,16:00:00,10,28
Refridgerator,2,3,,outdoor,155,2018-01-17,16:00:00,17:00:00,2,1
AC,2,9,,outdoor,4777,2018-01-17,17:00:00,18:00:00,2,6
Computer,2,1,,outdoor,309,2018-01-17,18:00:00,19:00:00,1,26
Television,1,10,1002.0,indoor,297,2018-01-17,19:00:00,20:00:00,7,22
AC,1,7,704.0,indoor,1846,2018-01-17,20:00:00,21:00:00,4,22
Refridgerator,1,3,,outdoor,141,2018-01-17,21:00:00,22:00:00,0,14
AC,1,7,,outdoor,2546,2018-01-17,22:00:00,23:00:00,1,19
Lights,3,6,,outdoor,3543,2018-01-17,23:00:00,00:00:00,5,25
Refridgerator,1,6,,outdoor,185,2018-01-18,00:00:00,01:00:00,2,19
AC,3,10,1006.0,indoor,1428,2018-01-18,01:00:00,02:00:00,7,28
Lights,1,9,,outdoor,3056,2018-01-18,02:00:00,03:00:00,3,15
Lights,1,6,,outdoor,3017,2018-01-18,03:00:00,04:00:00,10,21
Lights,1,9,,outdoor,4273,2018-01-18,04:00:00,05:00:00,8,21
Computer,3,1,,outdoor,371,2018-01-18,05:00:00,06:00:00,0,10
Refridgerator,3,9,907.0,indoor,252,2018-01-18,06:00:00,07:00:00,4,21
Lights,1,6,,outdoor,3751,2018-01-18,07:00:00,08:00:00,4,28
Heater,2,3,,outdoor,2760,2018-01-18,08:00:00,09:00:00,6,27
Television,3,4,,outdoor,217,2018-01-18,09:00:00,10:00:00,1,28
AC,3,6,,outdoor,2911,2018-01-18,10:00:00,11:00:00,9,15
AC,3,7,702.0,indoor,1866,2018-01-18,11:00:00,12:00:00,0,8
Television,1,4,,outdoor,225,2018-01-18,12:00:00,13:00:00,10,21
Television,3,9,902.0,indoor,201,2018-01-18,13:00:00,14:00:00,9,18
Television,3,7,,outdoor,222,2018-01-18,14:00:00,15:00:00,3,4
Computer,1,3,305.0,indoor,351,2018-01-18,15:00:00,16:00:00,6,1
Lights,1,4,402.0,indoor,1286,2018-01-18,16:00:00,17:00:00,9,0
Refridgerator,2,6,606.0,indoor,297,2018-01-18,17:00:00,18:00:00,5,19
Lights,2,1,101.0,indoor,1446,2018-01-18,18:00:00,19:00:00,8,17
Lights,1,1,,outdoor,4878,2018-01-18,19:00:00,20:00:00,1,23
Computer,1,1,,outdoor,368,2018-01-18,20:00:00,21:00:00,3,1
Television,2,6,601.0,indoor,261,2018-01-18,21:00:00,22:00:00,9,17
Heater,2,8,803.0,indoor,2906,2018-01-18,22:00:00,23:00:00,5,1
Television,2,5,,outdoor,282,2018-01-18,23:00:00,00:00:00,1,15
Refridgerator,2,4,404.0,indoor,203,2018-01-19,00:00:00,01:00:00,5,13
Television,2,1,,outdoor,283,2018-01-19,01:00:00,02:00:00,10,19
Heater,1,4,403.0,indoor,2623,2018-01-19,02:00:00,03:00:00,7,18
Heater,2,6,,outdoor,1682,2018-01-19,03:00:00,04:00:00,3,11
AC,1,9,,outdoor,4374,2018-01-19,04:00:00,05:00:00,0,6
Lights,1,2,,outdoor,3359,2018-01-19,05:00:00,06:00:00,8,27
Heater,1,4,,outdoor,2286,2018-01-19,06:00:00,07:00:00,6,28
Lights,1,1,103.0,indoor,1798,2018-01-19,07:00:00,08:00:00,5,7
Microwave,2,5,502.0,indoor,1520,2018-01-19,08:00:00,09:00:00,8,23
Lights,2,4,401.0,indoor,1622,2018-01-19,09:00:00,10:00:00,7,9
Television,2,9,902.0,indoor,247,2018-01-19,10:00:00,11:00:00,8,18
Heater,1,7,703.0,indoor,1954,2018-01-19,11:00:00,12:00:00,10,10
Television,2,1,107.0,indoor,244,2018-01-19,12:00:00,13:00:00,0,2
Computer,2,5,507.0,indoor,459,2018-01-19,13:00:00,14:00:00,6,3
Lights,1,9,907.0,indoor,1799,2018-01-19,14:00:00,15:00:00,3,29
Heater,3,7,,outdoor,2678,2018-01-19,15:00:00,16:00:00,4,16
Computer,3,6,607.0,indoor,338,2018-01-19,16:00:00,17:00:00,3,18
Heater,2,4,,outdoor,1726,2018-01-19,17:00:00,18:00:00,4,30
Microwave,2,8,803.0,indoor,1850,2018-01-19,18:00:00,19:00:00,9,7
AC,1,3,304.0,indoor,1015,2018-01-19,19:00:00,20:00:00,2,1
Refridgerator,1,4,402.0,indoor,241,2018-01-19,20:00:00,21:00:00,6,27
Microwave,3,2,,outdoor,1658,2018-01-19,21:00:00,22:00:00,2,17
Computer,3,5,,outdoor,345,2018-01-19,22:00:00,23:00:00,8,1
Heater,1,2,202.0,indoor,2359,2018-01-19,23:00:00,00:00:00,4,17
Refridgerator,3,2,202.0,indoor,242,2018-01-20,00:00:00,01:00:00,7,11
Lights,2,4,,outdoor,4145,2018-01-20,01:00:00,02:00:00,1,17
AC,3,5,,outdoor,2465,2018-01-20,02:00:00,03:00:00,3,10
Heater,3,9,903.0,indoor,2183,2018-01-20,03:00:00,04:00:00,1,17
Refridgerator,2,6,606.0,indoor,280,2018-01-20,04:00:00,05:00:00,5,3
Heater,1,8,807.0,indoor,1721,2018-01-20,05:00:00,06:00:00,7,10
Heater,1,6,,outdoor,1541,2018-01-20,06:00:00,07:00:00,1,26
AC,3,5,506.0,indoor,1457,2018-01-20,07:00:00,08:00:00,1,18
Heater,1,8,804.0,indoor,2872,2018-01-20,08:00:00,09:00:00,6,7
Microwave,3,6,,outdoor,1111,2018-01-20,09:00:00,10:00:00,0,20
Lights,1,3,,outdoor,2770,2018-01-20,10:00:00,11:00:00,4,29
Heater,1,10,,outdoor,1891,2018-01-20,11:00:00,12:00:00,9,28
Refridgerator,3,6,607.0,indoor,204,2018-01-20,12:00:00,13:00:00,5,26
AC,1,8,802.0,indoor,1476,2018-01-20,13:00:00,14:00:00,5,27
Computer,1,2,207.0,indoor,456,2018-01-20,14:00:00,15:00:00,0,4
Lights,2,2,,outdoor,4711,2018-01-20,15:00:00,16:00:00,6,30
Lights,1,1,102.0,indoor,1651,2018-01-20,16:00:00,17:00:00,2,3
Computer,1,9,903.0,indoor,367,2018-01-20,17:00:00,18:00:00,8,6
Computer,2,5,,outdoor,432,2018-01-20,18:00:00,19:00:00,1,21
Heater,2,3,302.0,indoor,2679,2018-01-20,19:00:00,20:00:00,0,15
AC,3,10,1005.0,indoor,1656,2018-01-20,20:00:00,21:00:00,1,22
Lights,3,3,,outdoor,4909,2018-01-20,21:00:00,22:00:00,8,21
AC,3,3,302.0,indoor,1052,2018-01-20,22:00:00,23:00:00,8,21
Television,3,2,,outdoor,207,2018-01-20,23:00:00,00:00:00,0,30
Microwave,1,3,,outdoor,1416,2018-01-21,00:00:00,01:00:00,10,21
Microwave,1,6,603.0,indoor,1039,2018-01-21,01:00:00,02:00:00,7,10
Heater,2,4,402.0,indoor,1683,2018-01-21,02:00:00,03:00:00,9,21
Computer,1,2,207.0,indoor,497,2018-01-21,03:00:00,04:00:00,8,3
Lights,1,2,205.0,indoor,1576,2018-01-21,04:00:00,05:00:00,5,1
Heater,3,4,,outdoor,2009,2018-01-21,05:00:00,06:00:00,2,18
Refridgerator,2,2,206.0,indoor,292,2018-01-21,06:00:00,07:00:00,2,24
Computer,2,3,,outdoor,399,2018-01-21,07:00:00,08:00:00,3,10
Television,2,9,902.0,indoor,290,2018-01-21,08:00:00,09:00:00,0,21
Computer,3,5,505.0,indoor,371,2018-01-21,09:00:00,10:00:00,2,12
Heater,3,2,,outdoor,2875,2018-01-21,10:00:00,11:00:00,9,17
Television,1,3,,outdoor,284,2018-01-21,11:00:00,12:00:00,8,30
Heater,1,1,103.0,indoor,2882,2018-01-21,12:00:00,13:00:00,0,6
AC,2,6,604.0,indoor,1873,2018-01-21,13:00:00,14:00:00,9,28
AC,2,9,,outdoor,4349,2018-01-21,14:00:00,15:00:00,4,21
Lights,1,10,,outdoor,2075,2018-01-21,15:00:00,16:00:00,9,27
Refridgerator,2,2,,outdoor,187,2018-01-21,16:00:00,17:00:00,9,10
Computer,3,10,,outdoor,473,2018-01-21,17:00:00,18:00:00,8,6
Lights,3,7,,outdoor,4333,2018-01-21,18:00:00,19:00:00,2,23
Computer,1,6,604.0,indoor,429,2018-01-21,19:00:00,20:00:00,4,1
Refridgerator,3,6,,outdoor,287,2018-01-21,20:00:00,21:00:00,8,28
Television,2,2,,outdoor,211,2018-01-21,21:00:00,22:00:00,9,19
Lights,1,8,,outdoor,3946,2018-01-21,22:00:00,23:00:00,1,6
AC,1,5,,outdoor,2161,2018-01-21,23:00:00,00:00:00,10,26
Lights,2,7,,outdoor,4349,2018-01-22,00:00:00,01:00:00,5,14
Television,3,6,602.0,indoor,261,2018-01-22,01:00:00,02:00:00,9,25
Refridgerator,2,2,,outdoor,143,2018-01-22,02:00:00,03:00:00,3,9
Computer,2,1,104.0,indoor,412,2018-01-22,03:00:00,04:00:00,9,16
Heater,2,7,,outdoor,2200,2018-01-22,04:00:00,05:00:00,4,21
Refridgerator,3,9,901.0,indoor,182,2018-01-22,05:00:00,06:00:00,1,12
Television,1,3,,outdoor,209,2018-01-22,06:00:00,07:00:00,8,23
Lights,1,2,,outdoor,2501,2018-01-22,07:00:00,08:00:00,9,20
Television,3,6,605.0,indoor,295,2018-01-22,08:00:00,09:00:00,0,30
Heater,1,10,1005.0,indoor,2474,2018-01-22,09:00:00,10:00:00,10,8
AC,1,4,,outdoor,2677,2018-01-22,10:00:00,11:00:00,3,1
AC,2,4,406.0,indoor,1665,2018-01-22,11:00:00,12:00:00,6,5
Refridgerator,3,5,505.0,indoor,155,2018-01-22,12:00:00,13:00:00,4,3
AC,1,5,,outdoor,4960,2018-01-22,13:00:00,14:00:00,5,18
Microwave,3,10,,outdoor,1605,2018-01-22,14:00:00,15:00:00,5,11
Television,1,1,103.0,indoor,278,2018-01-22,15:00:00,16:00:00,7,26
Heater,3,5,,outdoor,2508,2018-01-22,16:00:00,17:00:00,0,4
Microwave,1,4,405.0,indoor,1862,2018-01-22,17:00:00,18:00:00,2,13
Heater,3,7,702.0,indoor,1837,2018-01-22,18:00:00,19:00:00,0,17
Computer,2,3,305.0,indoor,383,2018-01-22,19:00:00,20:00:00,7,3
Television,3,7,,outdoor,222,2018-01-22,20:00:00,21:00:00,2,15
Refridgerator,1,9,901.0,indoor,182,2018-01-22,21:00:00,22:00:00,5,11
Lights,3,1,,outdoor,2213,2018-01-22,22:00:00,23:00:00,3,15
Television,1,5,507.0,indoor,205,2018-01-22,23:00:00,00:00:00,10,2
Heater,1,6,606.0,indoor,2041,2018-01-23,00:00:00,01:00:00,0,8
Heater,1,2,203.0,indoor,1552,2018-01-23,01:00:00,02:00:00,3,25
Heater,1,4,405.0,indoor,2099,2018-01-23,02:00:00,03:00:00,0,5
Refridgerator,3,10,,outdoor,188,2018-01-23,03:00:00,04:00:00,1,13
Computer,1,2,204.0,indoor,432,2018-01-23,04:00:00,05:00:00,4,1
Television,2,2,203.0,indoor,236,2018-01-23,05:00:00,06:00:00,2,18
Lights,1,8,807.0,indoor,1230,2018-01-23,06:00:00,07:00:00,0,9
Lights,3,6,,outdoor,3886,2018-01-23,07:00:00,08:00:00,7,7
Television,1,2,,outdoor,212,2018-01-23,08:00:00,09:00:00,0,1
Microwave,3,9,907.0,indoor,1181,2018-01-23,09:00:00,10:00:00,7,10
Computer,3,2,,outdoor,482,2018-01-23,10:00:00,11:00:00,5,16
Computer,1,6,,outdoor,312,2018-01-23,11:00:00,12:00:00,5,16
AC,2,2,207.0,indoor,1950,2018-01-23,12:00:00,13:00:00,6,19
Television,3,6,607.0,indoor,297,2018-01-23,13:00:00,14:00:00,10,3
Microwave,3,4,405.0,indoor,1232,2018-01-23,14:00:00,15:00:00,2,12
Heater,1,5,502.0,indoor,2664,2018-01-23,15:00:00,16:00:00,1,9
Computer,3,4,,outdoor,439,2018-01-23,16:00:00,17:00:00,9,11
AC,1,6,,outdoor,3888,2018-01-23,17:00:00,18:00:00,7,16
Heater,2,7,702.0,indoor,2619,2018-01-23,18:00:00,19:00:00,2,9
Microwave,1,6,603.0,indoor,1575,2018-01-23,19:00:00,20:00:00,8,13
Heater,3,2,,outdoor,1973,2018-01-23,20:00:00,21:00:00,9,9
AC,1,1,102.0,indoor,1293,2018-01-23,21:00:00,22:00:00,2,14
Microwave,3,3,307.0,indoor,1907,2018-01-23,22:00:00,23:00:00,6,8
AC,2,9,,outdoor,2515,2018-01-23,23:00:00,00:00:00,10,11
Refridgerator,3,5,,outdoor,231,2018-01-24,00:00:00,01:00:00,9,18
Refridgerator,3,2,,outdoor,126,2018-01-24,01:00:00,02:00:00,0,3
Television,1,3,301.0,indoor,270,2018-01-24,02:00:00,03:00:00,8,25
Refridgerator,1,7,,outdoor,265,2018-01-24,03:00:00,04:00:00,9,15
Lights,2,1,101.0,indoor,1325,2018-01-24,04:00:00,05:00:00,9,12
Lights,2,1,105.0,indoor,1049,2018-01-24,05:00:00,06:00:00,3,26
Television,1,1,,outdoor,232,2018-01-24,06:00:00,07:00:00,3,4
Microwave,2,4,402.0,indoor,1188,2018-01-24,07:00:00,08:00:00,8,11
Television,3,1,,outdoor,236,2018-01-24,08:00:00,09:00:00,1,27
Television,3,7,,outdoor,293,2018-01-24,09:00:00,10:00:00,3,21
Heater,2,2,,outdoor,2252,2018-01-24,10:00:00,11:00:00,2,15
Computer,3,3,303.0,indoor,465,2018-01-24,11:00:00,12:00:00,7,19
Microwave,3,3,304.0,indoor,1045,2018-01-24,12:00:00,13:00:00,1,6
Lights,2,8,801.0,indoor,1049,2018-01-24,13:00:00,14:00:00,4,2
Television,3,4,402.0,indoor,207,2018-01-24,14:00:00,15:00:00,1,20
Television,2,7,705.0,indoor,282,2018-01-24,15:00:00,16:00:00,4,28
Computer,1,10,1004.0,indoor,344,2018-01-24,16:00:00,17:00:00,6,3
Heater,3,7,704.0,indoor,1861,2018-01-24,17:00:00,18:00:00,8,4
Computer,1,4,,outdoor,443,2018-01-24,18:00:00,19:00:00,8,9
Heater,1,2,201.0,indoor,2363,2018-01-24,19:00:00,20:00:00,10,11
Refridgerator,2,6,,outdoor,121,2018-01-24,20:00:00,21:00:00,1,9
Microwave,1,4,401.0,indoor,1274,2018-01-24,21:00:00,22:00:00,0,27
Microwave,3,1,,outdoor,1969,2018-01-24,22:00:00,23:00:00,4,4
Television,3,5,507.0,indoor,268,2018-01-24,23:00:00,00:00:00,10,3
Television,2,5,,outdoor,275,2018-01-25,00:00:00,01:00:00,5,17
Microwave,2,3,302.0,indoor,1561,2018-01-25,01:00:00,02:00:00,7,27
AC,2,9,901.0,indoor,1084,2018-01-25,02:00:00,03:00:00,5,15
Refridgerator,1,6,,outdoor,270,2018-01-25,03:00:00,04:00:00,5,5
Lights,2,9,,outdoor,4488,2018-01-25,04:00:00,05:00:00,5,3
Lights,2,3,,outdoor,2063,2018-01-25,05:00:00,06:00:00,1,4
Television,2,8,,outdoor,251,2018-01-25,06:00:00,07:00:00,1,21
Microwave,2,6,603.0,indoor,1332,2018-01-25,07:00:00,08:00:00,10,4
Refridgerator,3,6,601.0,indoor,135,2018-01-25,08:00:00,09:00:00,7,18
Refridgerator,2,8,801.0,indoor,231,2018-01-25,09:00:00,10:00:00,7,26
Refridgerator,2,2,201.0,indoor,232,2018-01-25,10:00:00,11:00:00,4,26
Microwave,2,6,,outdoor,1423,2018-01-25,11:00:00,12:00:00,6,30
Lights,1,7,704.0,indoor,1568,2018-01-25,12:00:00,13:00:00,4,0
Refridgerator,1,10,1005.0,indoor,185,2018-01-25,13:00:00,14:00:00,7,12
Computer,2,10,1003.0,indoor,473,2018-01-25,14:00:00,15:00:00,5,4
AC,3,10,1002.0,indoor,1145,2018-01-25,15:00:00,16:00:00,1,1
Computer,1,5,506.0,indoor,307,2018-01-25,16:00:00,17:00:00,6,5
Refridgerator,3,1,106.0,indoor,279,2018-01-25,17:00:00,18:00:00,9,13
Heater,1,1,,outdoor,2983,2018-01-25,18:00:00,19:00:00,3,22
Television,1,10,,outdoor,275,2018-01-25,19:00:00,20:00:00,0,5
Microwave,1,4,404.0,indoor,1650,2018-01-25,20:00:00,21:00:00,7,11
Microwave,2,2,206.0,indoor,1175,2018-01-25,21:00:00,22:00:00,6,26
Television,2,8,,outdoor,223,2018-01-25,22:00:00,23:00:00,7,6
Refridgerator,3,4,402.0,indoor,225,2018-01-25,23:00:00,00:00:00,1,18
Television,1,7,704.0,indoor,226,2018-01-26,00:00:00,01:00:00,7,23
Computer,2,4,,outdoor,393,2018-01-26,01:00:00,02:00:00,9,6
AC,2,5,,outdoor,3940,2018-01-26,02:00:00,03:00:00,0,0
Television,2,10,,outdoor,216,2018-01-26,03:00:00,04:00:00,0,12
Lights,1,3,301.0,indoor,1364,2018-01-26,04:00:00,05:00:00,1,18
Television,1,9,,outdoor,256,2018-01-26,05:00:00,06:00:00,7,0
Microwave,3,5,,outdoor,1247,2018-01-26,06:00:00,07:00:00,10,4
Lights,3,4,407.0,indoor,1856,2018-01-26,07:00:00,08:00:00,3,22
Television,1,7,,outdoor,292,2018-01-26,08:00:00,09:00:00,6,0
Microwave,2,3,304.0,indoor,1182,2018-01-26,09:00:00,10:00:00,1,11
AC,3,3,301.0,indoor,1146,2018-01-26,10:00:00,11:00:00,7,14
Heater,2,2,,outdoor,1913,2018-01-26,11:00:00,12:00:00,1,30
Refridgerator,2,9,,outdoor,193,2018-01-26,12:00:00,13:00:00,1,2
Refridgerator,3,4,406.0,indoor,239,2018-01-26,13:00:00,14:00:00,5,3
Heater,3,9,,outdoor,1827,2018-01-26,14:00:00,15:00:00,4,7
AC,2,10,,outdoor,4367,2018-01-26,15:00:00,16:00:00,3,3
Television,3,2,206.0,indoor,225,2018-01-26,16:00:00,17:00:00,8,7
Heater,2,2,,outdoor,2870,2018-01-26,17:00:00,18:00:00,4,19
Television,1,6,,outdoor,240,2018-01-26,18:00:00,19:00:00,6,22
Refridgerator,1,7,704.0,indoor,148,2018-01-26,19:00:00,20:00:00,10,12
Television,1,3,306.0,indoor,297,2018-01-26,20:00:00,21:00:00,2,29
AC,3,4,,outdoor,4171,2018-01-26,21:00:00,22:00:00,8,9
Television,3,3,305.0,indoor,225,2018-01-26,22:00:00,23:00:00,4,4
Microwave,1,8,804.0,indoor,1791,2018-01-26,23:00:00,00:00:00,8,5
AC,3,2,,outdoor,2064,2018-01-27,00:00:00,01:00:00,1,13
Computer,1,6,,outdoor,306,2018-01-27,01:00:00,02:00:00,5,29
Refridgerator,1,4,403.0,indoor,266,2018-01-27,02:00:00,03:00:00,5,3
Refridgerator,1,5,505.0,indoor,259,2018-01-27,03:00:00,04:00:00,2,30
Microwave,1,10,,outdoor,1476,2018-01-27,04:00:00,05:00:00,8,4
Heater,3,6,,outdoor,1826,2018-01-27,05:00:00,06:00:00,10,22
Heater,1,7,,outdoor,2638,2018-01-27,06:00:00,07:00:00,7,3
Lights,1,7,,outdoor,2832,2018-01-27,07:00:00,08:00:00,0,1
Computer,3,8,,outdoor,328,2018-01-27,08:00:00,09:00:00,4,25
Computer,2,4,401.0,indoor,413,2018-01-27,09:00:00,10:00:00,5,29
Refridgerator,2,10,1001.0,indoor,211,2018-01-27,10:00:00,11:00:00,3,26
Lights,1,1,102.0,indoor,1786,2018-01-27,11:00:00,12:00:00,1,15
Computer,3,8,805.0,indoor,471,2018-01-27,12:00:00,13:00:00,10,4
Microwave,3,4,401.0,indoor,1703,2018-01-27,13:00:00,14:00:00,1,5
Heater,1,10,,outdoor,1624,2018-01-27,14:00:00,15:00:00,3,15
Refridgerator,3,7,703.0,indoor,166,2018-01-27,15:00:00,16:00:00,6,13
Computer,1,7,,outdoor,486,2018-01-27,16:00:00,17:00:00,4,0
Heater,2,6,,outdoor,1867,2018-01-27,17:00:00,18:00:00,0,16
Microwave,1,8,803.0,indoor,1268,2018-01-27,18:00:00,19:00:00,5,8
Microwave,2,1,,outdoor,1753,2018-01-27,19:00:00,20:00:00,3,13
AC,2,1,,outdoor,3981,2018-01-27,20:00:00,21:00:00,1,0
Lights,1,7,,outdoor,3447,2018-01-27,21:00:00,22:00:00,7,29
Microwave,3,4,401.0,indoor,1674,2018-01-27,22:00:00,23:00:00,2,24
AC,3,6,,outdoor,2182,2018-01-27,23:00:00,00:00:00,6,7
Heater,1,4,401.0,indoor,1926,2018-01-28,00:00:00,01:00:00,5,8
Computer,1,3,,outdoor,476,2018-01-28,01:00:00,02:00:00,4,29
Refridgerator,2,1,,outdoor,169,2018-01-28,02:00:00,03:00:00,7,6
Microwave,3,4,,outdoor,1665,2018-01-28,03:00:00,04:00:00,3,20
Television,1,2,201.0,indoor,283,2018-01-28,04:00:00,05:00:00,4,27
Heater,1,7,702.0,indoor,2121,2018-01-28,05:00:00,06:00:00,8,28
Refridgerator,1,3,302.0,indoor,158,2018-01-28,06:00:00,07:00:00,3,26
Microwave,1,4,403.0,indoor,1061,2018-01-28,07:00:00,08:00:00,2,28
Television,3,1,,outdoor,297,2018-01-28,08:00:00,09:00:00,9,0
Computer,3,3,,outdoor,316,2018-01-28,09:00:00,10:00:00,1,21
Microwave,3,5,505.0,indoor,1949,2018-01-28,10:00:00,11:00:00,5,1
Computer,3,9,902.0,indoor,335,2018-01-28,11:00:00,12:00:00,7,16
Refridgerator,1,7,,outdoor,124,2018-01-28,12:00:00,13:00:00,0,0
Television,1,4,404.0,indoor,268,2018-01-28,13:00:00,14:00:00,10,2
Refridgerator,3,7,702.0,indoor,179,2018-01-28,14:00:00,15:00:00,4,0
Refridgerator,3,2,205.0,indoor,261,2018-01-28,15:00:00,16:00:00,8,16
Computer,1,6,,outdoor,453,2018-01-28,16:00:00,17:00:00,3,24
Lights,2,1,,outdoor,3095,2018-01-28,17:00:00,18:00:00,8,28
Heater,2,5,507.0,indoor,2891,2018-01-28,18:00:00,19:00:00,8,30
Heater,1,10,,outdoor,2848,2018-01-28,19:00:00,20:00:00,7,5
AC,2,8,804.0,indoor,1527,2018-01-28,20:00:00,21:00:00,2,24
Lights,2,10,1004.0,indoor,1258,2018-01-28,21:00:00,22:00:00,3,2
Microwave,1,9,905.0,indoor,1851,2018-01-28,22:00:00,23:00:00,0,5
Microwave,3,1,,outdoor,1345,2018-01-28,23:00:00,00:00:00,7,22
Lights,2,8,804.0,indoor,1539,2018-01-29,00:00:00,01:00:00,1,7
Refridgerator,1,7,707.0,indoor,297,2018-01-29,01:00:00,02:00:00,5,26
AC,3,1,,outdoor,3113,2018-01-29,02:00:00,03:00:00,2,26
Refridgerator,1,7,,outdoor,103,2018-01-29,03:00:00,04:00:00,2,18
AC,3,3,,outdoor,4994,2018-01-29,04:00:00,05:00:00,10,20
AC,2,1,105.0,indoor,1161,2018-01-29,05:00:00,06:00:00,8,13
Lights,1,2,201.0,indoor,1584,2018-01-29,06:00:00,07:00:00,6,1
Lights,2,2,201.0,indoor,1017,2018-01-29,07:00:00,08:00:00,1,27
Lights,2,1,105.0,indoor,1743,2018-01-29,08:00:00,09:00:00,7,16
