device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins,target
AC,1,9,904,indoor,1070,04-01-2018,08:00:00,09:00:00,5,27,1
Heater,1,9,904,indoor,1676,19-01-2018,08:00:00,09:00:00,1,23,1
Heater,1,9,904,indoor,2306,20-01-2018,08:00:00,09:00:00,6,5,0
Heater,1,9,904,indoor,1689,21-01-2018,00:00:00,01:00:00,8,21,1
Heater,1,9,904,indoor,1837,21-01-2018,22:00:00,23:00:00,2,20,1
Heater,1,9,904,indoor,2843,22-01-2018,23:00:00,00:00:00,4,3,0
Lights,1,9,904,indoor,1176,07-01-2018,18:00:00,19:00:00,8,8,1
Lights,1,9,904,indoor,1551,07-01-2018,22:00:00,23:00:00,3,11,0
Lights,1,9,904,indoor,1738,09-01-2018,10:00:00,11:00:00,10,13,0
Lights,1,9,904,indoor,1530,09-01-2018,11:00:00,12:00:00,10,25,0
Microwave,1,9,904,indoor,1923,25-01-2018,07:00:00,08:00:00,8,18,0
Microwave,1,9,904,indoor,1833,25-01-2018,23:00:00,00:00:00,0,0,0
Microwave,1,9,904,indoor,1292,26-01-2018,13:00:00,14:00:00,1,15,1
Television,1,9,904,indoor,275,13-01-2018,06:00:00,07:00:00,0,0,0
Computer,1,9,905,indoor,328,30-01-2018,03:00:00,04:00:00,5,17,1
Computer,1,9,905,indoor,444,30-01-2018,11:00:00,12:00:00,10,13,0
Computer,1,9,905,indoor,395,31-01-2018,18:00:00,19:00:00,6,21,1
Heater,1,9,905,indoor,1874,21-01-2018,17:00:00,18:00:00,1,8,1
Heater,1,9,905,indoor,2258,22-01-2018,13:00:00,14:00:00,2,8,1
Lights,1,9,905,indoor,1101,06-01-2018,02:00:00,03:00:00,3,22,1
Lights,1,9,905,indoor,1724,08-01-2018,01:00:00,02:00:00,8,9,0
Microwave,1,9,905,indoor,1976,24-01-2018,20:00:00,21:00:00,2,7,0
Microwave,1,9,905,indoor,1014,27-01-2018,00:00:00,01:00:00,1,20,1
Microwave,1,9,905,indoor,1344,27-01-2018,21:00:00,22:00:00,8,13,1
Refridgerator,1,9,905,indoor,182,16-01-2018,18:00:00,19:00:00,7,2,0
Television,1,9,905,indoor,235,12-01-2018,03:00:00,04:00:00,2,1,1
Television,1,9,905,indoor,256,12-01-2018,13:00:00,14:00:00,4,21,0
AC,1,9,906,indoor,1852,01-01-2018,16:00:00,17:00:00,4,17,0
AC,1,9,906,indoor,1927,05-01-2018,15:00:00,16:00:00,8,24,0
AC,1,9,906,indoor,1596,05-01-2018,23:00:00,00:00:00,6,17,0
Heater,1,9,906,indoor,1590,20-01-2018,07:00:00,08:00:00,6,21,1
Heater,1,9,906,indoor,2025,21-01-2018,15:00:00,16:00:00,0,0,1
Lights,1,9,906,indoor,1795,07-01-2018,15:00:00,16:00:00,9,30,0
Lights,1,9,906,indoor,1033,07-01-2018,21:00:00,22:00:00,4,18,1
Lights,1,9,906,indoor,1941,08-01-2018,09:00:00,10:00:00,1,19,0
Television,1,9,906,indoor,259,10-01-2018,18:00:00,19:00:00,5,27,0
Television,1,9,906,indoor,281,12-01-2018,03:00:00,04:00:00,7,18,0
Television,1,9,906,indoor,253,12-01-2018,19:00:00,20:00:00,10,30,1
Television,1,9,906,indoor,201,12-01-2018,23:00:00,00:00:00,5,24,1
Television,1,9,906,indoor,248,14-01-2018,23:00:00,00:00:00,0,0,0
AC,1,9,907,indoor,1661,01-01-2018,17:00:00,18:00:00,2,30,0
AC,1,9,907,indoor,1461,04-01-2018,10:00:00,11:00:00,0,0,1
Computer,1,9,907,indoor,409,31-01-2018,14:00:00,15:00:00,4,3,0
Microwave,1,9,907,indoor,1297,23-01-2018,10:00:00,11:00:00,6,25,1
Microwave,1,9,907,indoor,1235,25-01-2018,03:00:00,04:00:00,6,23,1
Television,1,9,907,indoor,253,12-01-2018,02:00:00,03:00:00,7,28,1
Television,1,9,907,indoor,240,14-01-2018,20:00:00,21:00:00,5,5,1
AC,1,9,0,outdoor,2103,01-01-2018,01:00:00,02:00:00,8,11,1
AC,1,9,0,outdoor,3701,01-01-2018,17:00:00,18:00:00,2,17,0
AC,1,9,0,outdoor,4288,01-01-2018,23:00:00,00:00:00,9,26,0
AC,1,9,0,outdoor,4108,02-01-2018,02:00:00,03:00:00,10,4,0
AC,1,9,0,outdoor,2656,02-01-2018,03:00:00,04:00:00,9,4,1
AC,1,9,0,outdoor,2991,02-01-2018,16:00:00,17:00:00,9,9,1
AC,1,9,0,outdoor,2529,02-01-2018,20:00:00,21:00:00,4,23,1
AC,1,9,0,outdoor,2861,02-01-2018,20:00:00,21:00:00,7,18,1
AC,1,9,0,outdoor,4503,03-01-2018,02:00:00,03:00:00,4,11,0
AC,1,9,0,outdoor,3468,03-01-2018,13:00:00,14:00:00,4,17,0
AC,1,9,0,outdoor,2324,04-01-2018,02:00:00,03:00:00,1,12,1
AC,1,9,0,outdoor,3183,04-01-2018,03:00:00,04:00:00,6,27,1
AC,1,9,0,outdoor,4899,04-01-2018,14:00:00,15:00:00,2,21,0
AC,1,9,0,outdoor,4344,04-01-2018,17:00:00,18:00:00,10,14,0
AC,1,9,0,outdoor,3005,05-01-2018,13:00:00,14:00:00,4,11,1
Computer,1,9,0,outdoor,423,27-01-2018,07:00:00,08:00:00,3,4,0
Computer,1,9,0,outdoor,432,27-01-2018,14:00:00,15:00:00,5,2,0
Computer,1,9,0,outdoor,364,28-01-2018,08:00:00,09:00:00,6,2,1
Computer,1,9,0,outdoor,340,28-01-2018,15:00:00,16:00:00,1,12,1
Computer,1,9,0,outdoor,466,28-01-2018,23:00:00,00:00:00,7,10,0
Computer,1,9,0,outdoor,391,29-01-2018,06:00:00,07:00:00,6,23,1
Computer,1,9,0,outdoor,342,29-01-2018,07:00:00,08:00:00,1,11,1
Computer,1,9,0,outdoor,335,31-01-2018,11:00:00,12:00:00,2,23,1
Computer,1,9,0,outdoor,403,31-01-2018,12:00:00,13:00:00,10,7,0
Heater,1,9,0,outdoor,1984,19-01-2018,01:00:00,02:00:00,5,19,1
Heater,1,9,0,outdoor,1872,19-01-2018,07:00:00,08:00:00,9,2,1
Heater,1,9,0,outdoor,2440,19-01-2018,15:00:00,16:00:00,9,25,0
Heater,1,9,0,outdoor,2850,19-01-2018,23:00:00,00:00:00,8,7,0
Heater,1,9,0,outdoor,2643,20-01-2018,03:00:00,04:00:00,10,21,0
Heater,1,9,0,outdoor,1768,20-01-2018,05:00:00,06:00:00,6,30,1
Heater,1,9,0,outdoor,2990,20-01-2018,14:00:00,15:00:00,0,0,0
Heater,1,9,0,outdoor,2214,20-01-2018,15:00:00,16:00:00,9,20,1
Heater,1,9,0,outdoor,1600,20-01-2018,20:00:00,21:00:00,10,12,1
Heater,1,9,0,outdoor,2398,21-01-2018,12:00:00,13:00:00,10,6,0
Heater,1,9,0,outdoor,2047,22-01-2018,13:00:00,14:00:00,7,6,1
Heater,1,9,0,outdoor,2692,22-01-2018,21:00:00,22:00:00,7,24,0
Heater,1,9,0,outdoor,2965,23-01-2018,04:00:00,05:00:00,5,4,0
Lights,1,9,0,outdoor,2189,05-01-2018,01:00:00,02:00:00,2,19,1
Lights,1,9,0,outdoor,2468,05-01-2018,10:00:00,11:00:00,4,13,1
Lights,1,9,0,outdoor,3911,05-01-2018,17:00:00,18:00:00,3,16,0
Lights,1,9,0,outdoor,2480,06-01-2018,11:00:00,12:00:00,1,7,1
Lights,1,9,0,outdoor,2582,06-01-2018,22:00:00,23:00:00,7,28,1
Lights,1,9,0,outdoor,4058,07-01-2018,16:00:00,17:00:00,3,10,0
Lights,1,9,0,outdoor,3635,07-01-2018,20:00:00,21:00:00,10,23,1
Lights,1,9,0,outdoor,2175,07-01-2018,22:00:00,23:00:00,10,18,1
Lights,1,9,0,outdoor,3763,08-01-2018,05:00:00,06:00:00,0,0,0
Lights,1,9,0,outdoor,3619,08-01-2018,06:00:00,07:00:00,6,12,1
Lights,1,9,0,outdoor,3346,08-01-2018,09:00:00,10:00:00,1,15,1
Lights,1,9,0,outdoor,2890,08-01-2018,21:00:00,22:00:00,1,24,1
Lights,1,9,0,outdoor,3293,08-01-2018,22:00:00,23:00:00,9,2,1
Lights,1,9,0,outdoor,3156,08-01-2018,23:00:00,00:00:00,6,19,1
Lights,1,9,0,outdoor,3722,09-01-2018,15:00:00,16:00:00,8,15,0
Lights,1,9,0,outdoor,3982,09-01-2018,16:00:00,17:00:00,2,11,0
Microwave,1,9,0,outdoor,1842,23-01-2018,07:00:00,08:00:00,0,0,0
Microwave,1,9,0,outdoor,1932,23-01-2018,13:00:00,14:00:00,10,30,0
Microwave,1,9,0,outdoor,1183,24-01-2018,01:00:00,02:00:00,8,16,1
Microwave,1,9,0,outdoor,1590,24-01-2018,03:00:00,04:00:00,9,22,0
Microwave,1,9,0,outdoor,1224,24-01-2018,08:00:00,09:00:00,2,3,1
Microwave,1,9,0,outdoor,1176,25-01-2018,01:00:00,02:00:00,4,15,1
Microwave,1,9,0,outdoor,1488,25-01-2018,02:00:00,03:00:00,10,27,0
Microwave,1,9,0,outdoor,1264,25-01-2018,02:00:00,03:00:00,5,26,1
Microwave,1,9,0,outdoor,1047,25-01-2018,05:00:00,06:00:00,5,27,1
Microwave,1,9,0,outdoor,1096,26-01-2018,18:00:00,19:00:00,7,20,1
Microwave,1,9,0,outdoor,1931,27-01-2018,19:00:00,20:00:00,10,24,0
Refridgerator,1,9,0,outdoor,190,14-01-2018,00:00:00,01:00:00,0,0,1
Refridgerator,1,9,0,outdoor,299,14-01-2018,03:00:00,04:00:00,4,22,0
Refridgerator,1,9,0,outdoor,295,15-01-2018,20:00:00,21:00:00,5,6,0
Refridgerator,1,9,0,outdoor,164,16-01-2018,01:00:00,02:00:00,10,24,1
Refridgerator,1,9,0,outdoor,153,16-01-2018,01:00:00,02:00:00,1,29,1
Refridgerator,1,9,0,outdoor,202,16-01-2018,11:00:00,12:00:00,7,16,1
Refridgerator,1,9,0,outdoor,130,16-01-2018,18:00:00,19:00:00,9,29,1
Refridgerator,1,9,0,outdoor,293,16-01-2018,20:00:00,21:00:00,4,25,0
Refridgerator,1,9,0,outdoor,127,16-01-2018,21:00:00,22:00:00,8,17,1
Refridgerator,1,9,0,outdoor,182,16-01-2018,23:00:00,00:00:00,1,18,1
Refridgerator,1,9,0,outdoor,250,17-01-2018,01:00:00,02:00:00,8,25,0
Refridgerator,1,9,0,outdoor,194,17-01-2018,05:00:00,06:00:00,8,3,0
Refridgerator,1,9,0,outdoor,104,17-01-2018,07:00:00,08:00:00,4,26,1
Refridgerator,1,9,0,outdoor,112,17-01-2018,12:00:00,13:00:00,10,12,1
Refridgerator,1,9,0,outdoor,164,18-01-2018,05:00:00,06:00:00,7,26,1
Refridgerator,1,9,0,outdoor,123,18-01-2018,12:00:00,13:00:00,2,9,1
Television,1,9,0,outdoor,278,10-01-2018,00:00:00,01:00:00,5,2,0
Television,1,9,0,outdoor,225,10-01-2018,10:00:00,11:00:00,6,25,1
Television,1,9,0,outdoor,249,11-01-2018,03:00:00,04:00:00,8,27,0
Television,1,9,0,outdoor,237,11-01-2018,08:00:00,09:00:00,4,13,1
Television,1,9,0,outdoor,249,11-01-2018,23:00:00,00:00:00,8,17,1
Television,1,9,0,outdoor,282,12-01-2018,01:00:00,02:00:00,0,0,0
Television,1,9,0,outdoor,219,12-01-2018,12:00:00,13:00:00,7,14,1
Television,1,9,0,outdoor,238,12-01-2018,14:00:00,15:00:00,6,30,1
Television,1,9,0,outdoor,203,12-01-2018,17:00:00,18:00:00,10,24,1
Television,1,9,0,outdoor,246,12-01-2018,19:00:00,20:00:00,4,8,1
Television,1,9,0,outdoor,214,13-01-2018,01:00:00,02:00:00,9,20,1
Television,1,9,0,outdoor,205,13-01-2018,06:00:00,07:00:00,2,12,1
Television,1,9,0,outdoor,210,13-01-2018,13:00:00,14:00:00,10,2,1
Television,1,9,0,outdoor,228,14-01-2018,08:00:00,09:00:00,9,2,1
AC,1,10,1001,indoor,1820,01-01-2018,07:00:00,08:00:00,7,5,0
Computer,1,10,1001,indoor,446,30-01-2018,06:00:00,07:00:00,8,28,0
Computer,1,10,1001,indoor,312,30-01-2018,16:00:00,17:00:00,1,28,1
Computer,1,10,1001,indoor,475,31-01-2018,04:00:00,05:00:00,5,17,0
Heater,1,10,1001,indoor,1528,21-01-2018,03:00:00,04:00:00,7,7,1
Lights,1,10,1001,indoor,1610,06-01-2018,12:00:00,13:00:00,5,9,0
Lights,1,10,1001,indoor,1479,09-01-2018,17:00:00,18:00:00,6,25,0
Microwave,1,10,1001,indoor,1788,26-01-2018,05:00:00,06:00:00,8,6,0
Refridgerator,1,10,1001,indoor,254,14-01-2018,19:00:00,20:00:00,2,21,0
Refridgerator,1,10,1001,indoor,298,16-01-2018,03:00:00,04:00:00,10,9,0
Refridgerator,1,10,1001,indoor,239,17-01-2018,14:00:00,15:00:00,4,1,0
Refridgerator,1,10,1001,indoor,183,18-01-2018,14:00:00,15:00:00,4,6,1
Television,1,10,1001,indoor,232,10-01-2018,22:00:00,23:00:00,5,13,1
AC,1,10,1002,indoor,1751,02-01-2018,13:00:00,14:00:00,6,3,0
AC,1,10,1002,indoor,1710,05-01-2018,20:00:00,21:00:00,7,25,0
Computer,1,10,1002,indoor,488,27-01-2018,14:00:00,15:00:00,6,15,0
Computer,1,10,1002,indoor,335,31-01-2018,05:00:00,06:00:00,3,30,1
Computer,1,10,1002,indoor,361,31-01-2018,16:00:00,17:00:00,5,9,1
Microwave,1,10,1002,indoor,1859,24-01-2018,02:00:00,03:00:00,1,8,0
Microwave,1,10,1002,indoor,1639,26-01-2018,05:00:00,06:00:00,4,19,1
Refridgerator,1,10,1002,indoor,137,15-01-2018,08:00:00,09:00:00,0,0,1
Television,1,10,1002,indoor,207,10-01-2018,18:00:00,19:00:00,6,3,1
Television,1,10,1002,indoor,217,11-01-2018,08:00:00,09:00:00,2,20,1
Television,1,10,1002,indoor,269,13-01-2018,11:00:00,12:00:00,7,2,0
AC,1,10,1003,indoor,1291,02-01-2018,00:00:00,01:00:00,1,3,1
AC,1,10,1003,indoor,1344,02-01-2018,06:00:00,07:00:00,9,6,1
AC,1,10,1003,indoor,1066,03-01-2018,08:00:00,09:00:00,5,15,1
AC,1,10,1003,indoor,1665,03-01-2018,09:00:00,10:00:00,9,16,0
Computer,1,10,1003,indoor,434,28-01-2018,02:00:00,03:00:00,1,28,0
Computer,1,10,1003,indoor,488,29-01-2018,10:00:00,11:00:00,1,21,0
Computer,1,10,1003,indoor,486,31-01-2018,02:00:00,03:00:00,7,27,0
Heater,1,10,1003,indoor,1564,20-01-2018,01:00:00,02:00:00,2,3,1
Heater,1,10,1003,indoor,2799,21-01-2018,22:00:00,23:00:00,5,30,0
Lights,1,10,1003,indoor,1398,09-01-2018,01:00:00,02:00:00,7,24,1
Microwave,1,10,1003,indoor,1647,23-01-2018,12:00:00,13:00:00,9,19,0
Microwave,1,10,1003,indoor,1832,25-01-2018,15:00:00,16:00:00,0,0,0
Microwave,1,10,1003,indoor,1017,25-01-2018,16:00:00,17:00:00,8,21,1
Microwave,1,10,1003,indoor,1706,27-01-2018,10:00:00,11:00:00,2,22,0
Refridgerator,1,10,1003,indoor,193,18-01-2018,00:00:00,01:00:00,1,27,0
Refridgerator,1,10,1003,indoor,113,18-01-2018,13:00:00,14:00:00,5,24,1
Television,1,10,1003,indoor,299,09-01-2018,18:00:00,19:00:00,10,26,0
Television,1,10,1003,indoor,278,10-01-2018,18:00:00,19:00:00,10,23,0
Television,1,10,1003,indoor,238,12-01-2018,19:00:00,20:00:00,4,9,1
Computer,1,10,1004,indoor,344,30-01-2018,23:00:00,00:00:00,4,7,1
Computer,1,10,1004,indoor,402,31-01-2018,05:00:00,06:00:00,10,8,1
Computer,1,10,1004,indoor,330,31-01-2018,08:00:00,09:00:00,10,1,1
Computer,1,10,1004,indoor,306,31-01-2018,09:00:00,10:00:00,8,30,1
Lights,1,10,1004,indoor,1318,07-01-2018,23:00:00,00:00:00,3,5,1
Lights,1,10,1004,indoor,1948,09-01-2018,07:00:00,08:00:00,1,16,0
Lights,1,10,1004,indoor,1349,09-01-2018,10:00:00,11:00:00,6,4,1
Microwave,1,10,1004,indoor,1065,23-01-2018,11:00:00,12:00:00,3,12,1
Microwave,1,10,1004,indoor,1286,24-01-2018,07:00:00,08:00:00,0,0,1
Microwave,1,10,1004,indoor,1631,24-01-2018,08:00:00,09:00:00,0,0,0
Microwave,1,10,1004,indoor,1496,24-01-2018,11:00:00,12:00:00,9,14,1
Microwave,1,10,1004,indoor,1426,24-01-2018,13:00:00,14:00:00,4,10,1
Microwave,1,10,1004,indoor,1747,24-01-2018,18:00:00,19:00:00,2,1,0
Microwave,1,10,1004,indoor,1100,25-01-2018,18:00:00,19:00:00,6,30,1
Microwave,1,10,1004,indoor,1323,25-01-2018,18:00:00,19:00:00,10,6,1
Refridgerator,1,10,1004,indoor,134,15-01-2018,20:00:00,21:00:00,1,12,1
Refridgerator,1,10,1004,indoor,248,17-01-2018,08:00:00,09:00:00,1,23,0
Television,1,10,1004,indoor,217,12-01-2018,09:00:00,10:00:00,8,27,1
Television,1,10,1004,indoor,245,13-01-2018,16:00:00,17:00:00,0,0,1
AC,1,10,1005,indoor,1018,02-01-2018,16:00:00,17:00:00,3,6,1
AC,1,10,1005,indoor,1145,05-01-2018,09:00:00,10:00:00,3,5,1
Heater,1,10,1005,indoor,2399,19-01-2018,09:00:00,10:00:00,0,0,0
Heater,1,10,1005,indoor,2235,21-01-2018,11:00:00,12:00:00,10,24,1
Heater,1,10,1005,indoor,1778,22-01-2018,20:00:00,21:00:00,6,28,1
Lights,1,10,1005,indoor,1033,08-01-2018,10:00:00,11:00:00,7,21,1
Lights,1,10,1005,indoor,1800,09-01-2018,01:00:00,02:00:00,3,14,0
Microwave,1,10,1005,indoor,1709,26-01-2018,17:00:00,18:00:00,5,8,0
Refridgerator,1,10,1005,indoor,299,14-01-2018,03:00:00,04:00:00,4,12,0
Refridgerator,1,10,1005,indoor,214,14-01-2018,07:00:00,08:00:00,8,3,0
Refridgerator,1,10,1005,indoor,161,17-01-2018,09:00:00,10:00:00,1,23,1
AC,1,10,1006,indoor,1497,05-01-2018,11:00:00,12:00:00,5,4,0
Computer,1,10,1006,indoor,342,28-01-2018,21:00:00,22:00:00,2,30,1
Computer,1,10,1006,indoor,321,30-01-2018,15:00:00,16:00:00,1,8,1
Computer,1,10,1006,indoor,372,31-01-2018,01:00:00,02:00:00,4,9,1
Heater,1,10,1006,indoor,1731,19-01-2018,00:00:00,01:00:00,2,3,1
Heater,1,10,1006,indoor,2268,21-01-2018,04:00:00,05:00:00,10,26,0
Heater,1,10,1006,indoor,2359,21-01-2018,13:00:00,14:00:00,10,5,1
Microwave,1,10,1006,indoor,1010,26-01-2018,22:00:00,23:00:00,2,22,1
Microwave,1,10,1006,indoor,1268,26-01-2018,22:00:00,23:00:00,10,15,1
Refridgerator,1,10,1006,indoor,212,14-01-2018,12:00:00,13:00:00,2,23,1
Refridgerator,1,10,1006,indoor,151,15-01-2018,03:00:00,04:00:00,7,28,1
Television,1,10,1006,indoor,299,11-01-2018,02:00:00,03:00:00,5,14,0
Television,1,10,1006,indoor,225,11-01-2018,19:00:00,20:00:00,9,4,1
AC,1,10,1007,indoor,1347,02-01-2018,09:00:00,10:00:00,2,21,1
Computer,1,10,1007,indoor,464,29-01-2018,17:00:00,18:00:00,10,29,0
Computer,1,10,1007,indoor,330,31-01-2018,04:00:00,05:00:00,6,27,1
Heater,1,10,1007,indoor,1698,20-01-2018,07:00:00,08:00:00,6,10,1
Heater,1,10,1007,indoor,2687,21-01-2018,06:00:00,07:00:00,5,4,0
Heater,1,10,1007,indoor,2271,21-01-2018,09:00:00,10:00:00,6,5,0
Refridgerator,1,10,1007,indoor,191,16-01-2018,03:00:00,04:00:00,0,0,1
Refridgerator,1,10,1007,indoor,294,17-01-2018,12:00:00,13:00:00,2,10,0
Refridgerator,1,10,1007,indoor,172,17-01-2018,15:00:00,16:00:00,1,10,1
Television,1,10,1007,indoor,260,11-01-2018,14:00:00,15:00:00,2,15,0
Television,1,10,1007,indoor,200,11-01-2018,17:00:00,18:00:00,1,7,1
AC,1,10,0,outdoor,3119,02-01-2018,10:00:00,11:00:00,0,0,1
AC,1,10,0,outdoor,4745,02-01-2018,12:00:00,13:00:00,3,7,0
AC,1,10,0,outdoor,4251,02-01-2018,14:00:00,15:00:00,5,15,0
AC,1,10,0,outdoor,2954,02-01-2018,15:00:00,16:00:00,2,27,1
AC,1,10,0,outdoor,3077,02-01-2018,15:00:00,16:00:00,9,11,1
AC,1,10,0,outdoor,2977,02-01-2018,23:00:00,00:00:00,6,14,1
AC,1,10,0,outdoor,3367,03-01-2018,12:00:00,13:00:00,6,12,1
AC,1,10,0,outdoor,3952,03-01-2018,13:00:00,14:00:00,9,11,0
AC,1,10,0,outdoor,2607,03-01-2018,13:00:00,14:00:00,2,29,1
AC,1,10,0,outdoor,2675,04-01-2018,04:00:00,05:00:00,0,0,1
AC,1,10,0,outdoor,2236,04-01-2018,07:00:00,08:00:00,7,13,1
AC,1,10,0,outdoor,2062,04-01-2018,13:00:00,14:00:00,3,15,1
AC,1,10,0,outdoor,4232,05-01-2018,02:00:00,03:00:00,10,6,0
AC,1,10,0,outdoor,4702,05-01-2018,06:00:00,07:00:00,10,7,0
Computer,1,10,0,outdoor,391,27-01-2018,10:00:00,11:00:00,3,4,0
Computer,1,10,0,outdoor,415,28-01-2018,00:00:00,01:00:00,2,4,0
Computer,1,10,0,outdoor,406,28-01-2018,01:00:00,02:00:00,7,13,1
Computer,1,10,0,outdoor,328,28-01-2018,04:00:00,05:00:00,2,6,1
Computer,1,10,0,outdoor,424,28-01-2018,04:00:00,05:00:00,4,27,0
Computer,1,10,0,outdoor,402,28-01-2018,06:00:00,07:00:00,8,9,1
Computer,1,10,0,outdoor,385,28-01-2018,21:00:00,22:00:00,9,25,1
Computer,1,10,0,outdoor,376,29-01-2018,01:00:00,02:00:00,8,20,1
Computer,1,10,0,outdoor,382,29-01-2018,05:00:00,06:00:00,9,26,1
Computer,1,10,0,outdoor,389,29-01-2018,11:00:00,12:00:00,10,14,0
Computer,1,10,0,outdoor,493,30-01-2018,09:00:00,10:00:00,9,4,0
Computer,1,10,0,outdoor,359,30-01-2018,22:00:00,23:00:00,2,5,1
Computer,1,10,0,outdoor,478,31-01-2018,00:00:00,01:00:00,1,15,0
Computer,1,10,0,outdoor,397,31-01-2018,08:00:00,09:00:00,0,0,0
Computer,1,10,0,outdoor,370,31-01-2018,14:00:00,15:00:00,1,21,1
Heater,1,10,0,outdoor,2420,18-01-2018,03:00:00,04:00:00,8,9,0
Heater,1,10,0,outdoor,1515,19-01-2018,00:00:00,01:00:00,1,6,1
Heater,1,10,0,outdoor,2468,19-01-2018,05:00:00,06:00:00,10,14,0
Heater,1,10,0,outdoor,2502,20-01-2018,03:00:00,04:00:00,7,10,0
Heater,1,10,0,outdoor,2237,20-01-2018,11:00:00,12:00:00,0,0,1
Heater,1,10,0,outdoor,2887,20-01-2018,18:00:00,19:00:00,1,15,0
Heater,1,10,0,outdoor,2945,20-01-2018,22:00:00,23:00:00,9,13,0
Heater,1,10,0,outdoor,2008,22-01-2018,00:00:00,01:00:00,5,12,1
Heater,1,10,0,outdoor,2840,22-01-2018,05:00:00,06:00:00,2,20,0
Heater,1,10,0,outdoor,1627,22-01-2018,09:00:00,10:00:00,1,1,1
Heater,1,10,0,outdoor,1913,23-01-2018,12:00:00,13:00:00,0,0,1
Heater,1,10,0,outdoor,1651,23-01-2018,22:00:00,23:00:00,6,22,1
Lights,1,10,0,outdoor,3451,06-01-2018,17:00:00,18:00:00,2,16,1
Lights,1,10,0,outdoor,4889,07-01-2018,10:00:00,11:00:00,8,3,0
Lights,1,10,0,outdoor,4867,07-01-2018,14:00:00,15:00:00,6,6,0
Lights,1,10,0,outdoor,4506,08-01-2018,00:00:00,01:00:00,2,27,0
Lights,1,10,0,outdoor,2486,08-01-2018,00:00:00,01:00:00,6,12,1
Lights,1,10,0,outdoor,2508,08-01-2018,06:00:00,07:00:00,9,29,1
Lights,1,10,0,outdoor,3883,08-01-2018,16:00:00,17:00:00,9,22,0
Lights,1,10,0,outdoor,4251,08-01-2018,17:00:00,18:00:00,8,19,0
Lights,1,10,0,outdoor,3046,09-01-2018,21:00:00,22:00:00,1,22,1
Lights,1,10,0,outdoor,2079,09-01-2018,23:00:00,00:00:00,9,26,1
Microwave,1,10,0,outdoor,1503,23-01-2018,00:00:00,01:00:00,2,4,0
Microwave,1,10,0,outdoor,1346,23-01-2018,13:00:00,14:00:00,0,0,1
Microwave,1,10,0,outdoor,1491,23-01-2018,18:00:00,19:00:00,10,3,0
Microwave,1,10,0,outdoor,1560,24-01-2018,03:00:00,04:00:00,8,9,0
Microwave,1,10,0,outdoor,1555,24-01-2018,12:00:00,13:00:00,10,24,0
Microwave,1,10,0,outdoor,1893,24-01-2018,18:00:00,19:00:00,4,6,0
Microwave,1,10,0,outdoor,1343,25-01-2018,12:00:00,13:00:00,1,27,1
Microwave,1,10,0,outdoor,1289,25-01-2018,17:00:00,18:00:00,8,15,1
Microwave,1,10,0,outdoor,1222,26-01-2018,03:00:00,04:00:00,4,7,1
Microwave,1,10,0,outdoor,1590,26-01-2018,05:00:00,06:00:00,0,0,0
Microwave,1,10,0,outdoor,1298,26-01-2018,09:00:00,10:00:00,5,11,1
Microwave,1,10,0,outdoor,1678,26-01-2018,10:00:00,11:00:00,6,13,0
Microwave,1,10,0,outdoor,1169,26-01-2018,15:00:00,16:00:00,1,23,1
Microwave,1,10,0,outdoor,1298,26-01-2018,23:00:00,00:00:00,9,11,1
Microwave,1,10,0,outdoor,1502,27-01-2018,03:00:00,04:00:00,0,0,0
Microwave,1,10,0,outdoor,1481,27-01-2018,17:00:00,18:00:00,9,4,1
Microwave,1,10,0,outdoor,1914,27-01-2018,17:00:00,18:00:00,0,0,0
Microwave,1,10,0,outdoor,1776,27-01-2018,20:00:00,21:00:00,7,8,0
Refridgerator,1,10,0,outdoor,132,14-01-2018,07:00:00,08:00:00,2,25,1
Refridgerator,1,10,0,outdoor,124,14-01-2018,15:00:00,16:00:00,10,5,1
Refridgerator,1,10,0,outdoor,135,15-01-2018,00:00:00,01:00:00,3,17,1
Refridgerator,1,10,0,outdoor,109,15-01-2018,08:00:00,09:00:00,8,18,1
Refridgerator,1,10,0,outdoor,255,15-01-2018,16:00:00,17:00:00,5,26,0
Refridgerator,1,10,0,outdoor,219,15-01-2018,18:00:00,19:00:00,10,15,0
Refridgerator,1,10,0,outdoor,128,15-01-2018,19:00:00,20:00:00,4,9,1
Refridgerator,1,10,0,outdoor,279,16-01-2018,02:00:00,03:00:00,10,10,0
Refridgerator,1,10,0,outdoor,101,16-01-2018,04:00:00,05:00:00,10,25,1
Refridgerator,1,10,0,outdoor,226,17-01-2018,00:00:00,01:00:00,4,21,0
Refridgerator,1,10,0,outdoor,228,17-01-2018,01:00:00,02:00:00,3,22,1
Refridgerator,1,10,0,outdoor,174,17-01-2018,12:00:00,13:00:00,10,21,1
Refridgerator,1,10,0,outdoor,133,17-01-2018,17:00:00,18:00:00,8,22,1
Refridgerator,1,10,0,outdoor,272,17-01-2018,18:00:00,19:00:00,5,30,0
Refridgerator,1,10,0,outdoor,266,18-01-2018,19:00:00,20:00:00,7,30,0
Television,1,10,0,outdoor,250,10-01-2018,00:00:00,01:00:00,7,5,1
Television,1,10,0,outdoor,262,10-01-2018,07:00:00,08:00:00,6,10,0
Television,1,10,0,outdoor,249,10-01-2018,09:00:00,10:00:00,2,2,1
Television,1,10,0,outdoor,267,10-01-2018,11:00:00,12:00:00,0,0,0
